,seed,model_name,accuracy,f1_score,n_clusters,domain,n_test_samples
0,100,rf,0.8255,0.8173731030873888,1,Domain1,2000
1,100,rf,0.8255,0.8173731030873888,1,Global,2000
2,100,lgbm,0.8165,0.8075511274252754,1,Domain1,2000
3,100,lgbm,0.8165,0.8075511274252754,1,Global,2000
4,100,lr,0.8105,0.8004212743549237,1,Domain1,2000
5,100,lr,0.8105,0.8004212743549237,1,Global,2000
6,100,rf,0.7908805031446541,0.8180574555403557,2,Domain1,1272
7,100,rf,0.864010989010989,0.7775280898876403,2,Domain2,728
8,100,rf,0.8175,0.8085998951232303,2,Global,2000
9,100,lgbm,0.7830188679245284,0.8125,2,Domain1,1272
10,100,lgbm,0.8392857142857143,0.7346938775510203,2,Domain2,728
11,100,lgbm,0.8035,0.7945635128071094,2,Global,2000
12,100,lr,0.7578616352201258,0.7901907356948228,2,Domain1,1272
13,100,lr,0.8571428571428571,0.7592592592592593,2,Domain2,728
14,100,lr,0.794,0.783157894736842,2,Global,2000
15,100,rf,0.9792207792207792,0.0,3,Domain1,385
16,100,rf,0.78125,0.79553264604811,3,Domain2,1088
17,100,rf,0.7703984819734345,0.8344733242134064,3,Domain3,527
18,100,rf,0.8165,0.8071466106148186,3,Global,2000
19,100,lgbm,0.9766233766233766,0.0,3,Domain1,385
20,100,lgbm,0.7665441176470589,0.7832764505119454,3,Domain2,1088
21,100,lgbm,0.7590132827324478,0.8243430152143845,3,Domain3,527
22,100,lgbm,0.805,0.7951680672268907,3,Global,2000
23,100,lr,0.9792207792207792,0.0,3,Domain1,385
24,100,lr,0.7555147058823529,0.7690972222222223,3,Domain2,1088
25,100,lr,0.7647058823529411,0.8258426966292134,3,Domain3,527
26,100,lr,0.801,0.7873931623931624,3,Global,2000
27,100,rf,0.984251968503937,0.0,4,Domain1,381
28,100,rf,0.75748031496063,0.7532051282051283,4,Domain2,635
29,100,rf,0.7562076749435666,0.8144329896907215,4,Domain3,443
30,100,rf,0.8465804066543438,0.8781204111600588,4,Domain4,541
31,100,rf,0.8245,0.8145800316957212,4,Global,2000
32,100,lgbm,0.984251968503937,0.0,4,Domain1,381
33,100,lgbm,0.7338582677165354,0.7363494539781591,4,Domain2,635
34,100,lgbm,0.7562076749435666,0.8111888111888111,4,Domain3,443
35,100,lgbm,0.8096118299445472,0.8522238163558107,4,Domain4,541
36,100,lgbm,0.807,0.7985386221294364,4,Global,2000
37,100,lr,0.984251968503937,0.0,4,Domain1,381
38,100,lr,0.7133858267716535,0.6986754966887416,4,Domain2,635
39,100,lr,0.7584650112866818,0.8183361629881153,4,Domain3,443
40,100,lr,0.833641404805915,0.8688046647230321,4,Domain4,541
41,100,lr,0.8075,0.7957559681697612,4,Global,2000
42,100,rf,0.7700865265760197,0.8258426966292136,5,Domain1,809
43,100,rf,0.8603603603603603,0.1142857142857143,5,Domain2,222
44,100,rf,0.7419354838709677,0.8148148148148148,5,Domain3,155
45,100,rf,0.7633410672853829,0.823529411764706,5,Domain4,431
46,100,rf,0.9817232375979112,0.22222222222222224,5,Domain5,383
47,100,rf,0.817,0.8079748163693599,5,Global,2000
48,100,lgbm,0.7552533992583437,0.8142589118198874,5,Domain1,809
49,100,lgbm,0.8378378378378378,0.30769230769230765,5,Domain2,222
50,100,lgbm,0.6645161290322581,0.75,5,Domain3,155
51,100,lgbm,0.7587006960556845,0.8188153310104529,5,Domain4,431
52,100,lgbm,0.97911227154047,0.0,5,Domain5,383
53,100,lgbm,0.801,0.7914046121593291,5,Global,2000
54,100,lr,0.7466007416563659,0.8082319925163703,5,Domain1,809
55,100,lr,0.8513513513513513,0.3773584905660377,5,Domain2,222
56,100,lr,0.7032258064516129,0.7889908256880733,5,Domain3,155
57,100,lr,0.765661252900232,0.8273504273504273,5,Domain4,431
58,100,lr,0.9843342036553525,0.25,5,Domain5,383
